HomeTeam,AwayTeam,Year,HomeGoals,AwayGoals,TotalGoals
France,Senegal,2002,0,1,1
Sweden,Argentina,2002,1,1,2
Nigeria,England,2002,0,0,0
Croatia,Mexico,2002,0,1,1
Italy,Ecuador,2002,2,0,2
Italy,Croatia,2002,1,2,3
Mexico,Ecuador,2002,2,1,3
Mexico,Italy,2002,1,1,2
Ecuador,Croatia,2002,1,0,1
Japan,Belgium,2002,2,2,4
Russia,Tunisia,2002,2,0,2
Japan,Russia,2002,1,0,1
Tunisia,Belgium,2002,1,1,2
Tunisia,Japan,2002,0,2,2
Germany,Paraguay,2002,1,0,1
Denmark,England,2002,0,3,3
Sweden,Senegal,2002,1,2,3
Spain,Republic of Ireland,2002,1,1,2
Mexico,United States,2002,0,2,2
Brazil,Belgium,2002,2,0,2
Japan,Turkey,2002,0,1,1
South Korea,Italy,2002,2,1,3
England,Brazil,2002,1,2,3
Germany,United States,2002,1,0,1
Spain,South Korea,2002,0,0,0
Senegal,Turkey,2002,0,1,1
Germany,South Korea,2002,1,0,1
Brazil,Turkey,2002,1,0,1
South Korea,Turkey,2002,2,3,5
Germany,Brazil,2002,0,2,2
Argentina,England,2002,0,1,1
Sweden,Nigeria,2002,2,1,3
Belgium,Russia,2002,3,2,5
Argentina,Nigeria,2002,1,0,1
England,Sweden,2002,1,1,2
Denmark,Senegal,2002,1,1,2
France,Uruguay,2002,0,0,0
Denmark,France,2002,2,0,2
Senegal,Uruguay,2002,3,3,6
Paraguay,South Africa,2002,2,2,4
Spain,Slovenia,2002,3,1,4
Spain,Paraguay,2002,3,1,4
South Africa,Slovenia,2002,1,0,1
South Africa,Spain,2002,2,3,5
Slovenia,Paraguay,2002,1,3,4
Brazil,Turkey,2002,2,1,3
China,Costa Rica,2002,0,2,2
Brazil,China,2002,4,0,4
Costa Rica,Turkey,2002,1,1,2
Uruguay,Denmark,2002,1,2,3
Germany,Saudi Arabia,2002,8,0,8
Turkey,China,2002,3,0,3
South Korea,Poland,2002,2,0,2
United States,Portugal,2002,3,2,5
South Korea,United States,2002,1,1,2
Portugal,Poland,2002,4,0,4
Portugal,South Korea,2002,0,1,1
Poland,United States,2002,3,1,4
Republic of Ireland,Cameroon,2002,1,1,2
Costa Rica,Brazil,2002,2,5,7
Germany,Republic of Ireland,2002,1,1,2
Cameroon,Saudi Arabia,2002,1,0,1
Cameroon,Germany,2002,0,2,2
Saudi Arabia,Republic of Ireland,2002,0,3,3
Spain,Ukraine,2006,4,0,4
Tunisia,Saudi Arabia,2006,2,2,4
Brazil,Australia,2006,2,0,2
Spain,Tunisia,2006,3,1,4
Saudi Arabia,Ukraine,2006,0,4,4
Switzerland,South Korea,2006,2,0,2
Japan,Brazil,2006,1,4,5
Togo,Switzerland,2006,0,2,2
France,South Korea,2006,1,1,2
France,Switzerland,2006,0,0,0
South Korea,Togo,2006,2,1,3
Croatia,Australia,2006,2,2,4
Saudi Arabia,Spain,2006,0,1,1
Togo,France,2006,0,2,2
Ukraine,Tunisia,2006,1,0,1
Brazil,Ghana,2006,3,0,3
Argentina,Mexico,2006,2,1,3
